Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_day,journey_month,journey_weekday,is_weekend,quarter,dep_hour,dep_time_bin,Price_capped,Price_log,weekday,is_holiday,duration_hours,duration_minutes,total_duration_mins,flight_type,Source_freq,Destination_freq,Airline_mean_price,Source_mean_price,total_duration_mins,journey_month,total_duration_mins^2,total_duration_mins journey_month,journey_month^2
vistara,2019-06-15,chennai,kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,3687,15,6,5,1,2,7,Morning,3687,8.212839584676484,5,0,2.0,15.0,135.0,Medium,0.03566747800037446,0.03566747800037446,7796.348643006263,4789.892388451443,135.0,6.0,18225.0,810.0,36.0
vistara,2019-06-18,chennai,kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,3687,18,6,1,0,2,7,Morning,3687,8.212839584676484,1,0,2.0,15.0,135.0,Medium,0.03566747800037446,0.03566747800037446,7796.348643006263,4789.892388451443,135.0,6.0,18225.0,810.0,36.0
air india,2019-05-01,kolkata,banglore,CCU → GAU → DEL → BLR,09:50:00,23:15,13h 25m,2 stops,No info,13227,1,5,2,0,2,9,Morning,13227,9.490091074101684,2,0,13.0,25.0,805.0,Long,0.2687698932784123,0.2687698932784123,9612.427755568247,9158.389411354929,805.0,5.0,648025.0,4025.0,25.0
indigo,2019-04-06,banglore,delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,4423,6,4,5,1,2,4,Late Night,4423,8.39479954320217,5,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.11842351619546901,5673.68290306868,8017.464269458353,170.0,4.0,28900.0,680.0,16.0
jet airways,2019-06-15,delhi,cochin,DEL → NAG → BOM → COK,14:35:00,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,15,6,5,1,2,14,Afternoon,10919,9.298351249298896,5,0,22.0,0.0,1320.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1320.0,6.0,1742400.0,7920.0,36.0
jet airways,2019-05-18,delhi,cochin,DEL → BOM → COK,07:05:00,12:35,5h 30m,1 stop,In-flight meal not included,12373,18,5,5,1,2,7,Morning,12373,9.423352776090931,5,0,5.0,30.0,330.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,330.0,5.0,108900.0,1650.0,25.0
indigo,2019-06-27,delhi,cochin,DEL → BOM → COK,10:35:00,21:00,10h 25m,1 stop,No info,5894,27,6,3,0,2,10,Morning,5894,8.68185981297147,3,0,10.0,25.0,625.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,625.0,6.0,390625.0,3750.0,36.0
spicejet,2019-05-21,kolkata,banglore,CCU → MAA → BLR,15:05:00,20:20,5h 15m,1 stop,No info,4649,21,5,1,0,2,15,Afternoon,4649,8.444622498581403,1,0,5.0,15.0,315.0,Long,0.2687698932784123,0.2687698932784123,4338.284841075794,9158.389411354929,315.0,5.0,99225.0,1575.0,25.0
air india,2019-05-18,kolkata,banglore,CCU → BLR,14:15:00,16:45,2h 30m,non-stop,No info,6245,18,5,5,1,2,14,Afternoon,6245,8.739696537843024,5,0,2.0,30.0,150.0,Medium,0.2687698932784123,0.2687698932784123,9612.427755568247,9158.389411354929,150.0,5.0,22500.0,750.0,25.0
jet airways,2019-03-06,banglore,new delhi,BLR → BOM → DEL,07:00:00,13:15,6h 15m,1 stop,No info,19225,6,3,2,0,1,7,Morning,19225,9.864018808625762,2,0,6.0,15.0,375.0,Long,0.20567309492604383,0.0872495787305748,11643.92335671603,8017.464269458353,375.0,3.0,140625.0,1125.0,9.0
jet airways,2019-06-03,delhi,cochin,DEL → BOM → COK,07:05:00,19:00,11h 55m,1 stop,No info,14924,3,6,0,0,2,7,Morning,14924,9.610792938260802,0,0,11.0,55.0,715.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,715.0,6.0,511225.0,4290.0,36.0
multiple carriers,2019-05-21,delhi,cochin,DEL → HYD → COK,07:05:00,18:10,11h 5m,1 stop,No info,9646,21,5,1,0,2,7,Morning,9646,9.174402265170553,1,0,11.0,5.0,665.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,665.0,5.0,442225.0,3325.0,25.0
air india,2019-03-15,banglore,new delhi,BLR → BOM → DEL,06:45:00,15:15,8h 30m,1 stop,No info,8714,15,3,4,0,1,6,Morning,8714,9.07280095795412,4,0,8.0,30.0,510.0,Long,0.20567309492604383,0.0872495787305748,9612.427755568247,8017.464269458353,510.0,3.0,260100.0,1530.0,9.0
jet airways,2019-05-18,delhi,cochin,DEL → BOM → COK,20:55:00,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,18,5,5,1,2,20,Evening,12373,9.423352776090931,5,0,22.0,5.0,1325.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1325.0,5.0,1755625.0,6625.0,25.0
air asia,2019-05-06,banglore,delhi,BLR → DEL,11:10:00,13:55,2h 45m,non-stop,No info,3383,6,5,0,0,2,11,Morning,3383,8.126813720726114,0,0,2.0,45.0,165.0,Medium,0.20567309492604383,0.11842351619546901,5590.260188087775,8017.464269458353,165.0,5.0,27225.0,825.0,25.0
multiple carriers,2019-03-21,delhi,cochin,DEL → BOM → COK,09:00:00,21:00,12h,1 stop,No info,13062,21,3,3,0,1,9,Morning,13062,9.477539085486564,3,0,12.0,0.0,720.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,720.0,3.0,518400.0,2160.0,9.0
spicejet,2019-03-24,banglore,new delhi,BLR → DEL,05:45:00,08:35,2h 50m,non-stop,No check-in baggage included,3527,24,3,6,1,1,5,Morning,3527,8.168486417126681,6,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.0872495787305748,4338.284841075794,8017.464269458353,170.0,3.0,28900.0,510.0,9.0
indigo,2019-05-27,banglore,delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,3943,27,5,0,0,2,4,Late Night,3943,8.279950715722526,0,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.11842351619546901,5673.68290306868,8017.464269458353,170.0,5.0,28900.0,850.0,25.0
air india,2019-05-03,chennai,kolkata,MAA → CCU,11:40:00,13:55,2h 15m,non-stop,No info,4667,3,5,4,0,2,11,Morning,4667,8.448485993406447,4,0,2.0,15.0,135.0,Medium,0.03566747800037446,0.03566747800037446,9612.427755568247,4789.892388451443,135.0,5.0,18225.0,675.0,25.0
air india,2019-05-15,kolkata,banglore,CCU → HYD → BLR,19:00:00,11:05 16 May,16h 5m,1 stop,No info,6117,15,5,2,0,2,19,Evening,6117,8.718990524710849,2,0,16.0,5.0,965.0,Long,0.2687698932784123,0.2687698932784123,9612.427755568247,9158.389411354929,965.0,5.0,931225.0,4825.0,25.0
jet airways,2019-06-27,delhi,cochin,DEL → AMD → BOM → COK,23:05:00,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,27,6,3,0,2,23,Night,11150,9.31928445896536,3,0,19.0,55.0,1195.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1195.0,6.0,1428025.0,7170.0,36.0
jet airways,2019-03-09,delhi,cochin,DEL → COK,11:00:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,9,3,5,1,1,11,Morning,7202,8.882252884889363,5,0,3.0,15.0,195.0,Medium,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,195.0,3.0,38025.0,585.0,9.0
jet airways,2019-05-01,kolkata,banglore,CCU → DEL → BLR,09:35:00,10:55 02 May,25h 20m,1 stop,No info,12121,1,5,2,0,2,9,Morning,12121,9.402777262511233,2,0,25.0,20.0,1520.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,1520.0,5.0,2310400.0,7600.0,25.0
indigo,2019-03-24,banglore,new delhi,BLR → DEL,22:20:00,01:10 28 Mar,2h 50m,non-stop,No info,4377,24,3,6,1,1,22,Night,4377,8.384347278082808,6,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.0872495787305748,5673.68290306868,8017.464269458353,170.0,3.0,28900.0,510.0,9.0
indigo,2019-06-18,banglore,delhi,BLR → DEL,21:15:00,00:15 19 Jun,3h,non-stop,No info,3943,18,6,1,0,2,21,Night,3943,8.279950715722526,1,0,3.0,0.0,180.0,Medium,0.20567309492604383,0.11842351619546901,5673.68290306868,8017.464269458353,180.0,6.0,32400.0,1080.0,36.0
air asia,2019-04-03,banglore,delhi,BLR → DEL,23:55:00,02:45 04 Apr,2h 50m,non-stop,No info,4483,3,4,2,0,2,23,Night,4483,8.40827078419205,2,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.11842351619546901,5590.260188087775,8017.464269458353,170.0,4.0,28900.0,680.0,16.0
jet airways,2019-03-24,kolkata,banglore,CCU → BOM → BLR,19:45:00,12:00 25 Mar,16h 15m,1 stop,No info,14231,24,3,6,1,1,19,Evening,14231,9.563248229345673,6,0,16.0,15.0,975.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,975.0,3.0,950625.0,2925.0,9.0
air india,2019-03-01,banglore,new delhi,BLR → BOM → AMD → DEL,08:50:00,23:55,15h 5m,2 stops,No info,17345,1,3,4,0,1,8,Morning,17345,9.7611172112444,4,0,15.0,5.0,905.0,Long,0.20567309492604383,0.0872495787305748,9612.427755568247,8017.464269458353,905.0,3.0,819025.0,2715.0,9.0
vistara,2019-03-06,chennai,kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,7414,6,3,2,0,1,7,Morning,7414,8.911260254572033,2,0,2.0,15.0,135.0,Medium,0.03566747800037446,0.03566747800037446,7796.348643006263,4789.892388451443,135.0,3.0,18225.0,405.0,9.0
multiple carriers,2019-05-06,delhi,cochin,DEL → BOM → COK,19:00:00,01:30 07 May,6h 30m,1 stop,No info,8073,6,5,0,0,2,19,Evening,8073,8.996404301412886,0,0,6.0,30.0,390.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,390.0,5.0,152100.0,1950.0,25.0
vistara,2019-03-06,mumbai,hyderabad,BOM → DEL → HYD,15:40:00,16:45 07 Mar,25h 5m,1 stop,No info,12395,6,3,2,0,1,15,Afternoon,12395,9.42512911890764,2,0,25.0,5.0,1505.0,Long,0.06524995319228609,0.06524995319228609,7796.348643006263,5059.708751793401,1505.0,3.0,2265025.0,4515.0,9.0
air india,2019-06-06,kolkata,banglore,CCU → BOM → BLR,09:25:00,21:50,12h 25m,1 stop,No info,8366,6,6,3,0,2,9,Morning,8366,9.0320506762956,3,0,12.0,25.0,745.0,Long,0.2687698932784123,0.2687698932784123,9612.427755568247,9158.389411354929,745.0,6.0,555025.0,4470.0,36.0
air india,2019-04-03,delhi,cochin,DEL → MAA → COK,06:05:00,09:25 04 Apr,27h 20m,1 stop,No info,5117,3,4,2,0,2,6,Morning,5117,8.540519016719735,2,0,27.0,20.0,1640.0,Long,0.42463958060288337,0.42463958060288337,9612.427755568247,10540.113536155202,1640.0,4.0,2689600.0,6560.0,16.0
multiple carriers,2019-06-03,delhi,cochin,DEL → BOM → COK,08:45:00,19:00,10h 15m,1 stop,No info,12524,3,6,0,0,2,8,Morning,12524,9.435481925953065,0,0,10.0,15.0,615.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,615.0,6.0,378225.0,3690.0,36.0
indigo,2019-05-15,delhi,cochin,DEL → BOM → COK,15:00:00,01:30 16 May,10h 30m,1 stop,No info,7191,15,5,2,0,2,15,Afternoon,7191,8.880724576151456,2,0,10.0,30.0,630.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,630.0,5.0,396900.0,3150.0,25.0
vistara,2019-05-24,chennai,kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,3687,24,5,4,0,2,7,Morning,3687,8.212839584676484,4,0,2.0,15.0,135.0,Medium,0.03566747800037446,0.03566747800037446,7796.348643006263,4789.892388451443,135.0,5.0,18225.0,675.0,25.0
indigo,2019-06-24,delhi,cochin,DEL → BOM → COK,10:35:00,21:00,10h 25m,1 stop,No info,5894,24,6,0,0,2,10,Morning,5894,8.68185981297147,0,0,10.0,25.0,625.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,625.0,6.0,390625.0,3750.0,36.0
vistara,2019-04-24,banglore,delhi,BLR → DEL,09:45:00,12:35,2h 50m,non-stop,No info,5403,24,4,2,0,2,9,Morning,5403,8.59489469908009,2,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.11842351619546901,7796.348643006263,8017.464269458353,170.0,4.0,28900.0,680.0,16.0
air india,2019-05-06,mumbai,hyderabad,BOM → HYD,13:55:00,15:25,1h 30m,non-stop,No info,3625,6,5,0,0,2,13,Afternoon,3625,8.195885391314796,0,0,1.0,30.0,90.0,Short,0.06524995319228609,0.06524995319228609,9612.427755568247,5059.708751793401,90.0,5.0,8100.0,450.0,25.0
air india,2019-05-21,delhi,cochin,DEL → BHO → BOM → COK,05:55:00,19:15,13h 20m,2 stops,No info,10861,21,5,1,0,2,5,Morning,10861,9.29302573859479,1,0,13.0,20.0,800.0,Long,0.42463958060288337,0.42463958060288337,9612.427755568247,10540.113536155202,800.0,5.0,640000.0,4000.0,25.0
indigo,2019-03-12,chennai,kolkata,MAA → CCU,13:20:00,15:35,2h 15m,non-stop,No info,6297,12,3,1,0,1,13,Afternoon,6297,8.74798740166097,1,0,2.0,15.0,135.0,Medium,0.03566747800037446,0.03566747800037446,5673.68290306868,4789.892388451443,135.0,3.0,18225.0,405.0,9.0
jet airways,2019-06-01,mumbai,hyderabad,BOM → HYD,07:05:00,08:30,1h 25m,non-stop,No info,5678,1,6,5,1,2,7,Morning,5678,8.644530439877432,5,0,1.0,25.0,85.0,Short,0.06524995319228609,0.06524995319228609,11643.92335671603,5059.708751793401,85.0,6.0,7225.0,510.0,36.0
jet airways,2019-03-09,banglore,new delhi,BLR → BOM → DEL,05:45:00,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134,9,3,5,1,1,5,Morning,9134,9.119868468812108,5,0,26.0,30.0,1590.0,Long,0.20567309492604383,0.0872495787305748,11643.92335671603,8017.464269458353,1590.0,3.0,2528100.0,4770.0,9.0
multiple carriers,2019-06-24,delhi,cochin,DEL → BOM → COK,11:40:00,19:00,7h 20m,1 stop,In-flight meal not included,10791,24,6,0,0,2,11,Morning,10791,9.286560397887593,0,0,7.0,20.0,440.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,440.0,6.0,193600.0,2640.0,36.0
jet airways,2019-06-24,delhi,cochin,DEL → AMD → BOM → COK,23:05:00,12:35 25 Jun,13h 30m,2 stops,No info,12819,24,6,0,0,2,23,Night,12819,9.45876173047466,0,0,13.0,30.0,810.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,810.0,6.0,656100.0,4860.0,36.0
indigo,2019-03-21,delhi,cochin,DEL → BLR → COK,05:05:00,10:05,5h,1 stop,No info,6893,21,3,3,0,1,5,Morning,6893,8.83840674707681,3,0,5.0,0.0,300.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,300.0,3.0,90000.0,900.0,9.0
vistara,2019-03-09,banglore,new delhi,BLR → DEL,09:50:00,12:35,2h 45m,non-stop,No info,7240,9,3,5,1,1,9,Morning,7240,8.88751459738882,5,0,2.0,45.0,165.0,Medium,0.20567309492604383,0.0872495787305748,7796.348643006263,8017.464269458353,165.0,3.0,27225.0,495.0,9.0
goair,2019-04-03,banglore,delhi,BLR → DEL,11:40:00,14:30,2h 50m,non-stop,No info,3898,3,4,2,0,2,11,Morning,3898,8.268475388982598,2,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.11842351619546901,5861.056701030928,8017.464269458353,170.0,4.0,28900.0,680.0,16.0
indigo,2019-04-03,mumbai,hyderabad,BOM → HYD,06:25:00,07:55,1h 30m,non-stop,No info,4049,3,4,2,0,2,6,Morning,4049,8.306472160100585,2,0,1.0,30.0,90.0,Short,0.06524995319228609,0.06524995319228609,5673.68290306868,5059.708751793401,90.0,4.0,8100.0,360.0,16.0
jet airways,2019-06-15,delhi,cochin,DEL → BOM → COK,17:30:00,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262,15,6,5,1,2,17,Evening,10262,9.236300473645716,5,0,19.0,5.0,1145.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1145.0,6.0,1311025.0,6870.0,36.0
spicejet,2019-03-21,chennai,kolkata,MAA → CCU,08:20:00,10:35,2h 15m,non-stop,No check-in baggage included,3332,21,3,3,0,1,8,Morning,3332,8.11162807830774,3,0,2.0,15.0,135.0,Medium,0.03566747800037446,0.03566747800037446,4338.284841075794,4789.892388451443,135.0,3.0,18225.0,405.0,9.0
jet airways,2019-06-09,kolkata,banglore,CCU → BOM → BLR,21:10:00,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,10844,9,6,6,1,2,21,Night,10844,9.291459423260974,6,0,14.0,50.0,890.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,890.0,6.0,792100.0,5340.0,36.0
jet airways,2019-03-24,banglore,new delhi,BLR → DEL,19:55:00,22:35,2h 40m,non-stop,No info,7229,24,3,6,1,1,19,Evening,7229,8.88599431515281,6,0,2.0,40.0,160.0,Medium,0.20567309492604383,0.0872495787305748,11643.92335671603,8017.464269458353,160.0,3.0,25600.0,480.0,9.0
