Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_day,journey_month,journey_weekday,is_weekend,quarter,dep_hour,dep_time_bin,Price_capped,Price_log
vistara,2019-03-06,chennai,kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,7414,6,3,2,0,1,7,Morning,7414,8.911260254572033
multiple carriers,2019-05-06,delhi,cochin,DEL → BOM → COK,19:00:00,01:30 07 May,6h 30m,1 stop,No info,8073,6,5,0,0,2,19,Evening,8073,8.996404301412886
vistara,2019-03-06,mumbai,hyderabad,BOM → DEL → HYD,15:40:00,16:45 07 Mar,25h 5m,1 stop,No info,12395,6,3,2,0,1,15,Afternoon,12395,9.42512911890764
air india,2019-06-06,kolkata,banglore,CCU → BOM → BLR,09:25:00,21:50,12h 25m,1 stop,No info,8366,6,6,3,0,2,9,Morning,8366,9.032050676295599
air india,2019-04-03,delhi,cochin,DEL → MAA → COK,06:05:00,09:25 04 Apr,27h 20m,1 stop,No info,5117,3,4,2,0,2,6,Morning,5117,8.540519016719735
multiple carriers,2019-06-03,delhi,cochin,DEL → BOM → COK,08:45:00,19:00,10h 15m,1 stop,No info,12524,3,6,0,0,2,8,Morning,12524,9.435481925953065
indigo,2019-05-15,delhi,cochin,DEL → BOM → COK,15:00:00,01:30 16 May,10h 30m,1 stop,No info,7191,15,5,2,0,2,15,Afternoon,7191,8.880724576151456
vistara,2019-05-24,chennai,kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,3687,24,5,4,0,2,7,Morning,3687,8.212839584676484
indigo,2019-06-24,delhi,cochin,DEL → BOM → COK,10:35:00,21:00,10h 25m,1 stop,No info,5894,24,6,0,0,2,10,Morning,5894,8.68185981297147
vistara,2019-04-24,banglore,delhi,BLR → DEL,09:45:00,12:35,2h 50m,non-stop,No info,5403,24,4,2,0,2,9,Morning,5403,8.59489469908009
air india,2019-05-06,mumbai,hyderabad,BOM → HYD,13:55:00,15:25,1h 30m,non-stop,No info,3625,6,5,0,0,2,13,Afternoon,3625,8.195885391314796
air india,2019-05-21,delhi,cochin,DEL → BHO → BOM → COK,05:55:00,19:15,13h 20m,2 stops,No info,10861,21,5,1,0,2,5,Morning,10861,9.29302573859479
indigo,2019-03-12,chennai,kolkata,MAA → CCU,13:20:00,15:35,2h 15m,non-stop,No info,6297,12,3,1,0,1,13,Afternoon,6297,8.74798740166097
jet airways,2019-06-01,mumbai,hyderabad,BOM → HYD,07:05:00,08:30,1h 25m,non-stop,No info,5678,1,6,5,1,2,7,Morning,5678,8.644530439877432
jet airways,2019-03-09,banglore,new delhi,BLR → BOM → DEL,05:45:00,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134,9,3,5,1,1,5,Morning,9134,9.119868468812108
multiple carriers,2019-06-24,delhi,cochin,DEL → BOM → COK,11:40:00,19:00,7h 20m,1 stop,In-flight meal not included,10791,24,6,0,0,2,11,Morning,10791,9.286560397887591
jet airways,2019-06-24,delhi,cochin,DEL → AMD → BOM → COK,23:05:00,12:35 25 Jun,13h 30m,2 stops,No info,12819,24,6,0,0,2,23,Night,12819,9.458761730474661
indigo,2019-03-21,delhi,cochin,DEL → BLR → COK,05:05:00,10:05,5h,1 stop,No info,6893,21,3,3,0,1,5,Morning,6893,8.83840674707681
vistara,2019-03-09,banglore,new delhi,BLR → DEL,09:50:00,12:35,2h 45m,non-stop,No info,7240,9,3,5,1,1,9,Morning,7240,8.88751459738882
goair,2019-04-03,banglore,delhi,BLR → DEL,11:40:00,14:30,2h 50m,non-stop,No info,3898,3,4,2,0,2,11,Morning,3898,8.268475388982598
indigo,2019-04-03,mumbai,hyderabad,BOM → HYD,06:25:00,07:55,1h 30m,non-stop,No info,4049,3,4,2,0,2,6,Morning,4049,8.306472160100585
jet airways,2019-06-15,delhi,cochin,DEL → BOM → COK,17:30:00,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262,15,6,5,1,2,17,Evening,10262,9.236300473645715
spicejet,2019-03-21,chennai,kolkata,MAA → CCU,08:20:00,10:35,2h 15m,non-stop,No check-in baggage included,3332,21,3,3,0,1,8,Morning,3332,8.11162807830774
jet airways,2019-06-09,kolkata,banglore,CCU → BOM → BLR,21:10:00,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,10844,9,6,6,1,2,21,Night,10844,9.291459423260974
jet airways,2019-03-24,banglore,new delhi,BLR → DEL,19:55:00,22:35,2h 40m,non-stop,No info,7229,24,3,6,1,1,19,Evening,7229,8.88599431515281
jet airways,2019-05-06,kolkata,banglore,CCU → BOM → BLR,06:30:00,04:40 07 May,22h 10m,1 stop,No info,13941,6,5,0,0,2,6,Morning,13941,9.542661146046344
indigo,2019-06-27,delhi,cochin,DEL → BOM → COK,11:25:00,21:00,9h 35m,1 stop,No info,5894,27,6,3,0,2,11,Morning,5894,8.68185981297147
multiple carriers,2019-05-18,delhi,cochin,DEL → BOM → COK,09:00:00,19:00,10h,1 stop,No info,10197,18,5,5,1,2,9,Morning,10197,9.2299469016151
jet airways,2019-03-06,banglore,new delhi,BLR → BOM → DEL,14:05:00,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712,6,3,2,0,1,14,Afternoon,13712,9.526099566999854
indigo,2019-06-24,delhi,cochin,DEL → MAA → COK,02:00:00,07:25,5h 25m,1 stop,No info,5636,24,6,0,0,2,2,Late Night,5636,8.637107288081575
jet airways,2019-06-06,delhi,cochin,DEL → JAI → BOM → COK,09:40:00,04:25 07 Jun,18h 45m,2 stops,No info,13014,6,6,3,0,2,9,Morning,13014,9.473857817428666
jet airways,2019-04-01,kolkata,banglore,CCU → BOM → BLR,08:25:00,20:45,12h 20m,1 stop,In-flight meal not included,7064,1,4,0,0,2,8,Morning,7064,8.862908295118627
jet airways,2019-05-24,kolkata,banglore,CCU → DEL → BLR,20:25:00,14:25 25 May,18h,1 stop,In-flight meal not included,10703,24,5,4,0,2,20,Evening,10703,9.27837278236801
multiple carriers,2019-05-27,delhi,cochin,DEL → HYD → COK,13:15:00,22:30,9h 15m,1 stop,No info,9646,27,5,0,0,2,13,Afternoon,9646,9.174402265170553
multiple carriers,2019-03-06,delhi,cochin,DEL → BOM → COK,02:15:00,13:20,11h 5m,1 stop,No info,17057,6,3,2,0,1,2,Late Night,17057,9.744374580879056
jet airways,2019-03-12,banglore,new delhi,BLR → BOM → DEL,16:55:00,10:25 13 Mar,17h 30m,1 stop,No info,13817,12,3,1,0,1,16,Afternoon,13817,9.53372736904874
air india,2019-03-06,delhi,cochin,DEL → BHO → BOM → COK,05:55:00,19:15,13h 20m,2 stops,No info,13748,6,3,2,0,1,5,Morning,13748,9.528721373177234
air india,2019-04-21,kolkata,banglore,CCU → BLR,20:45:00,23:20,2h 35m,non-stop,No info,4880,21,4,6,1,2,20,Evening,4880,8.493105395887147
indigo,2019-06-21,chennai,kolkata,MAA → CCU,05:15:00,07:40,2h 25m,non-stop,No info,3540,21,6,4,0,2,5,Morning,3540,8.172164452111904
spicejet,2019-05-15,banglore,delhi,BLR → DEL,05:55:00,08:35,2h 40m,non-stop,No check-in baggage included,3257,15,5,2,0,2,5,Morning,3257,8.08886878916199
jet airways,2019-06-03,banglore,delhi,BLR → DEL,19:50:00,22:50,3h,non-stop,In-flight meal not included,6478,3,6,0,0,2,19,Evening,6478,8.776321456449958
jet airways,2019-06-18,mumbai,hyderabad,BOM → HYD,07:05:00,08:30,1h 25m,non-stop,No info,8040,18,6,1,0,2,7,Morning,8040,8.99230873254815
jet airways,2019-06-12,delhi,cochin,DEL → ATQ → BOM → COK,20:00:00,12:35 13 Jun,16h 35m,2 stops,No info,14300,12,6,2,0,2,20,Evening,14300,9.568084743872936
jet airways,2019-05-15,kolkata,banglore,CCU → BOM → BLR,08:25:00,20:45,12h 20m,1 stop,No info,14781,15,5,2,0,2,8,Morning,14781,9.601165503344832
jet airways,2019-06-09,kolkata,banglore,CCU → BOM → BLR,20:00:00,08:15 10 Jun,12h 15m,1 stop,No info,14939,9,6,6,1,2,20,Evening,14939,9.611797458686809
jet airways,2019-06-24,delhi,cochin,DEL → BOM → COK,20:55:00,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262,24,6,0,0,2,20,Evening,10262,9.236300473645715
air india,2019-05-12,kolkata,banglore,CCU → MAA → BLR,14:35:00,14:35 13 May,24h,1 stop,No info,6528,12,5,6,1,2,14,Afternoon,6528,8.784009071186633
air india,2019-05-01,banglore,delhi,BLR → DEL,06:10:00,08:55,2h 45m,non-stop,No info,6121,1,5,2,0,2,6,Morning,6121,8.719644119505357
jet airways,2019-05-18,delhi,cochin,DEL → JAI → BOM → COK,19:30:00,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029,18,5,5,1,2,19,Evening,13029,9.47500967011889
multiple carriers,2019-03-27,delhi,cochin,DEL → BOM → COK,11:40:00,18:50,7h 10m,1 stop,No info,11421,27,3,2,0,1,11,Morning,11421,9.343296599224809
multiple carriers,2019-03-27,delhi,cochin,DEL → BOM → COK,04:45:00,19:15,14h 30m,1 stop,No info,7574,27,3,2,0,1,4,Late Night,7574,8.93260863037757
air india,2019-05-09,delhi,cochin,DEL → JDH → BOM → COK,12:55:00,19:15 10 May,30h 20m,2 stops,No info,11596,9,5,3,0,2,12,Afternoon,11596,9.358501722956703
jet airways,2019-05-24,delhi,cochin,DEL → AMD → BOM → COK,23:05:00,19:00 25 May,19h 55m,2 stops,No info,15129,24,5,4,0,2,23,Night,15129,9.624434806782402
jet airways,2019-03-18,banglore,new delhi,BLR → BOM → DEL,14:05:00,05:05 16 Mar,15h,1 stop,No info,13555,18,3,0,0,1,14,Afternoon,13555,9.514584532726943
indigo,2019-04-12,banglore,delhi,BLR → DEL,18:55:00,21:50,2h 55m,non-stop,No info,5780,12,4,4,0,2,18,Evening,5780,8.662331957082475
vistara,2019-05-12,kolkata,banglore,CCU → DEL → BLR,20:20:00,09:05 13 May,12h 45m,1 stop,No info,9397,12,5,6,1,2,20,Evening,9397,9.14825217966276
jet airways,2019-03-06,delhi,cochin,DEL → BOM → COK,18:15:00,04:25 07 Mar,10h 10m,1 stop,No info,17024,6,3,2,0,1,18,Evening,17024,9.742438131017714
goair,2019-06-27,delhi,cochin,DEL → BOM → COK,07:00:00,12:55,5h 55m,1 stop,No info,5281,27,6,3,0,2,7,Morning,5281,8.572060092857077
multiple carriers,2019-05-18,delhi,cochin,DEL → HYD → COK,07:05:00,22:30,15h 25m,1 stop,No info,10348,18,5,5,1,2,7,Morning,10348,9.244645175668174
air india,2019-03-06,delhi,cochin,DEL → MAA → COK,17:20:00,09:25 07 Mar,16h 5m,1 stop,No info,12677,6,3,2,0,1,17,Evening,12677,9.447623486844112
multiple carriers,2019-03-03,delhi,cochin,DEL → BOM → COK,15:25:00,01:35 04 Mar,10h 10m,1 stop,No info,15147,3,3,6,1,1,15,Afternoon,15147,9.625623789021686
vistara,2019-06-12,banglore,delhi,BLR → DEL,07:00:00,09:40,2h 40m,non-stop,No info,4668,12,6,2,0,2,7,Morning,4668,8.448700194970938
jet airways,2019-05-09,delhi,cochin,DEL → BOM → COK,07:05:00,19:00,11h 55m,1 stop,No info,15554,9,5,3,0,2,7,Morning,15554,9.652137409331738
spicejet,2019-04-09,banglore,delhi,BLR → DEL,05:55:00,08:35,2h 40m,non-stop,No info,3971,9,4,1,0,2,5,Morning,3971,8.287025025165063
air india,2019-05-03,mumbai,hyderabad,BOM → HYD,15:00:00,16:25,1h 25m,non-stop,No info,3100,3,5,4,0,2,15,Afternoon,3100,8.03947991910045
jet airways,2019-05-06,kolkata,banglore,CCU → BOM → BLR,20:00:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663,6,5,0,0,2,20,Evening,9663,9.176162920174596
air india,2019-03-01,delhi,cochin,DEL → BOM → COK,23:00:00,19:15 02 Mar,20h 15m,1 stop,No info,27430,1,3,4,0,1,23,Night,23017,10.21942903970169
indigo,2019-05-12,chennai,kolkata,MAA → CCU,05:15:00,07:40,2h 25m,non-stop,No info,3540,12,5,6,1,2,5,Morning,3540,8.172164452111904
air india,2019-05-21,kolkata,banglore,CCU → BBI → BOM → BLR,12:00:00,11:10 22 May,23h 10m,2 stops,No info,10676,21,5,1,0,2,12,Afternoon,10676,9.275847174178303
jet airways,2019-06-12,kolkata,banglore,CCU → BOM → BLR,14:05:00,08:15 13 Jun,18h 10m,1 stop,No info,13044,12,6,2,0,2,14,Afternoon,13044,9.47616019757083
jet airways,2019-05-06,kolkata,banglore,CCU → BOM → BLR,20:00:00,12:00 07 May,16h,1 stop,No info,14388,6,5,0,0,2,20,Evening,14388,9.574219304763417
indigo,2019-06-24,banglore,delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,3943,24,6,0,0,2,4,Late Night,3943,8.279950715722526
indigo,2019-06-03,chennai,kolkata,MAA → CCU,14:45:00,17:05,2h 20m,non-stop,No info,3597,3,6,0,0,2,14,Afternoon,3597,8.188133414510478
air india,2019-03-21,banglore,new delhi,BLR → MAA → DEL,11:50:00,19:50,8h,1 stop,No info,5932,21,3,3,0,1,11,Morning,5932,8.688285266258644
jet airways,2019-06-15,delhi,cochin,DEL → BOM → COK,11:30:00,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,10262,15,6,5,1,2,11,Morning,10262,9.236300473645715
vistara,2019-05-12,delhi,cochin,DEL → COK,14:40:00,17:50,3h 10m,non-stop,No info,6216,12,5,6,1,2,14,Afternoon,6216,8.735042754269337
indigo,2019-06-15,kolkata,banglore,CCU → BLR,20:25:00,23:10,2h 45m,non-stop,No info,4804,15,6,5,1,2,20,Evening,4804,8.477412321404392
multiple carriers,2019-05-21,delhi,cochin,DEL → BOM → COK,11:30:00,01:30 22 May,14h,1 stop,No info,14067,21,5,1,0,2,11,Morning,14067,9.551657993593873
jet airways,2019-05-18,delhi,cochin,DEL → AMD → BOM → COK,19:10:00,19:00 19 May,23h 50m,2 stops,No info,15129,18,5,5,1,2,19,Evening,15129,9.624434806782402
jet airways,2019-06-06,delhi,cochin,DEL → NAG → BOM → COK,06:45:00,04:25 07 Jun,21h 40m,2 stops,No info,13376,6,6,3,0,2,6,Morning,13376,9.501292093295586
air india,2019-06-27,delhi,cochin,DEL → GOI → BOM → COK,22:00:00,19:15 28 Jun,21h 15m,2 stops,No info,10441,27,6,3,0,2,22,Night,10441,9.253591413970497
jet airways,2019-05-24,banglore,delhi,BLR → DEL,06:00:00,08:45,2h 45m,non-stop,In-flight meal not included,4030,24,5,4,0,2,6,Morning,4030,8.301769763117166
jet airways,2019-03-03,delhi,cochin,DEL → BOM → COK,08:00:00,18:50,10h 50m,1 stop,No info,17024,3,3,6,1,1,8,Morning,17024,9.742438131017714
multiple carriers,2019-04-09,delhi,cochin,DEL → BOM → COK,17:30:00,01:30 10 Apr,8h,1 stop,No info,13017,9,4,1,0,2,17,Evening,13017,9.474088294132333
goair,2019-06-06,kolkata,banglore,CCU → BOM → BLR,23:30:00,07:45 07 Jun,8h 15m,1 stop,No info,6686,6,6,3,0,2,23,Night,6686,8.80792062205398
indigo,2019-06-15,delhi,cochin,DEL → MAA → COK,02:00:00,07:25,5h 25m,1 stop,No info,5636,15,6,5,1,2,2,Late Night,5636,8.637107288081575
indigo,2019-06-09,delhi,cochin,DEL → HYD → COK,07:35:00,16:10,8h 35m,1 stop,No info,6442,9,6,6,1,2,7,Morning,6442,8.770749549138642
multiple carriers,2019-05-21,delhi,cochin,DEL → HYD → COK,13:05:00,00:55 22 May,11h 50m,1 stop,No info,9486,21,5,1,0,2,13,Afternoon,9486,9.157677719392877
jet airways,2019-05-21,kolkata,banglore,CCU → BOM → BLR,20:00:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,10844,21,5,1,0,2,20,Evening,10844,9.291459423260974
jet airways,2019-06-03,delhi,cochin,DEL → ATQ → BOM → COK,20:00:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,15318,3,6,0,0,2,20,Evening,15318,9.636849167012697
air india,2019-04-03,delhi,cochin,DEL → MAA → COK,12:30:00,09:25 04 Apr,20h 55m,1 stop,No info,5117,3,4,2,0,2,12,Afternoon,5117,8.540519016719735
indigo,2019-06-24,delhi,cochin,DEL → BLR → COK,15:10:00,20:00,4h 50m,1 stop,No info,6147,24,6,0,0,2,15,Afternoon,6147,8.723882104658486
multiple carriers,2019-06-09,delhi,cochin,DEL → BOM → COK,12:50:00,21:00,8h 10m,1 stop,No info,7005,9,6,6,1,2,12,Afternoon,7005,8.854522203757432
spicejet,2019-04-03,kolkata,banglore,CCU → BLR,22:20:00,00:40 04 Apr,2h 20m,non-stop,No info,3873,3,4,2,0,2,22,Night,3873,8.262042843966942
jet airways,2019-03-21,delhi,cochin,DEL → BDQ → BOM → COK,18:25:00,18:50 22 Mar,24h 25m,2 stops,In-flight meal not included,9270,21,3,3,0,1,18,Evening,9270,9.134646527606982
goair,2019-06-27,banglore,delhi,BLR → DEL,11:40:00,14:30,2h 50m,non-stop,No info,3898,27,6,3,0,2,11,Morning,3898,8.268475388982598
jet airways,2019-05-12,kolkata,banglore,CCU → BOM → BLR,08:25:00,20:45,12h 20m,1 stop,No info,14781,12,5,6,1,2,8,Morning,14781,9.601165503344832
jet airways,2019-05-24,kolkata,banglore,CCU → BOM → BLR,20:00:00,08:15 25 May,12h 15m,1 stop,In-flight meal not included,8586,24,5,4,0,2,20,Evening,8586,9.058004710672485
